iter	RMSE
0	4184.992508
1	3902.554641
2	3650.859116
3	3434.681637
4	3244.860062
5	3074.001575
6	2929.219563
7	2802.169655
8	2685.68208
9	2585.965057
10	2502.282332
11	2423.413999
12	2357.608052
13	2297.22014
14	2248.314951
15	2204.220637
16	2164.873238
17	2128.936889
18	2097.185442
19	2072.08581
20	2049.404604
21	2025.615615
22	2006.750635
23	1990.941756
24	1976.413189
25	1963.824443
26	1952.090185
27	1941.659557
28	1929.674826
29	1920.230777
30	1912.588026
31	1905.16453
32	1897.493586
33	1891.615578
34	1884.392539
35	1879.380393
36	1874.361752
37	1870.283053
38	1865.797811
39	1861.048381
40	1856.888307
41	1853.425963
42	1850.332436
43	1847.670462
44	1845.122128
45	1842.115573
46	1838.972928
47	1835.735063
48	1833.544044
49	1830.589584
50	1827.97825
51	1825.567663
52	1822.213822
53	1819.890005
54	1818.101173
55	1815.850091
56	1814.298751
57	1811.256124
58	1808.924327
59	1807.084613
60	1804.76652
61	1802.579175
62	1801.084306
63	1799.413278
64	1797.919792
65	1795.915975
66	1794.193877
67	1792.679005
68	1790.302468
69	1788.478467
70	1785.865021
71	1784.650756
72	1782.143945
73	1780.996695
74	1778.739504
75	1776.588024
76	1775.182658
77	1773.844271
78	1771.904015
79	1770.322302
80	1768.655991
81	1767.256793
82	1765.51459
83	1764.148962
84	1762.222922
85	1761.119723
86	1759.91064
87	1757.734147
88	1755.95755
89	1754.519227
90	1752.732079
91	1751.399212
92	1750.038935
93	1749.042156
94	1747.635267
95	1745.821415
96	1744.829283
97	1743.717323
98	1742.161772
99	1741.239554
100	1739.76864
101	1738.421195
102	1737.632115
103	1736.791811
104	1735.643906
105	1734.64457
106	1733.2589
107	1732.34576
108	1731.178535
109	1729.776928
110	1727.820597
111	1726.805628
112	1724.940709
113	1723.603844
114	1722.519119
115	1721.312693
116	1720.49823
117	1719.183745
118	1718.313614
119	1717.699428
120	1716.223317
121	1714.939668
122	1713.727239
123	1712.869104
124	1711.923085
125	1711.136271
126	1710.384791
127	1709.335149
128	1707.84465
129	1706.548055
130	1705.799276
131	1704.318089
132	1703.263244
133	1702.37363
134	1701.926164
135	1700.943149
136	1700.104436
137	1699.361688
138	1697.954591
139	1697.151652
140	1696.403264
141	1695.346078
142	1694.749982
143	1693.36105
144	1692.565487
145	1691.775762
146	1691.126075
147	1690.417948
148	1689.387157
149	1688.710176
150	1687.812456
151	1686.60205
152	1684.85003
153	1683.810278
154	1682.996824
155	1682.309574
