iter	RMSE
0	7.293512076
1	7.232893883
2	7.171659051
3	7.113009603
4	7.058883723
5	7.01291939
6	6.971527476
7	6.920822185
8	6.874958733
9	6.835570697
10	6.791339662
11	6.751210783
12	6.722418016
13	6.684902763
14	6.657570694
15	6.632159702
16	6.602272214
17	6.576787619
18	6.549815036
19	6.523476995
20	6.501716538
21	6.482156104
22	6.457771116
23	6.432921205
24	6.408282801
25	6.386833216
26	6.365856052
27	6.348133151
28	6.333436224
29	6.318614474
30	6.301771922
31	6.285441092
32	6.272000318
33	6.254164649
34	6.242684219
35	6.229118889
36	6.213766056
37	6.198830511
38	6.190191026
39	6.178346059
40	6.16658053
41	6.15330759
42	6.140216615
43	6.124387521
44	6.111717178
45	6.100065937
46	6.091099922
47	6.080691845
48	6.070251396
49	6.056830695
50	6.047879599
51	6.040113765
52	6.03237065
53	6.019648366
54	6.012619413
55	6.005029608
56	5.995367233
57	5.989228879
58	5.980620636
59	5.96740246
60	5.957597362
61	5.948461745
62	5.942947434
63	5.933366532
64	5.927070711
65	5.91969318
66	5.911271043
67	5.904505473
68	5.894959146
69	5.888092954
70	5.881060994
71	5.874470246
72	5.862708523
73	5.853373158
74	5.844551646
75	5.836387138
76	5.82924743
77	5.820880143
78	5.810998502
79	5.806427658
80	5.800627706
81	5.793833377
82	5.789006306
83	5.782355283
84	5.772555591
85	5.764953137
86	5.758746727
87	5.75019917
88	5.742216476
89	5.735480422
90	5.72738734
91	5.719594403
92	5.711780042
93	5.705221876
94	5.700667529
95	5.695509049
96	5.691226957
97	5.681243485
98	5.675588273
99	5.669820239
100	5.6638656
101	5.656491517
102	5.650909524
103	5.646703592
104	5.638046938
105	5.63144813
106	5.623172788
107	5.618430298
108	5.61111627
109	5.605015578
110	5.599889353
111	5.594787252
112	5.58856563
113	5.581471358
114	5.574505386
115	5.569272547
116	5.56326625
117	5.554604838
118	5.548491968
119	5.541172709
120	5.535516738
121	5.529276574
122	5.525182193
123	5.517839576
124	5.50827021
125	5.501582618
126	5.495421133
127	5.490706149
128	5.486363363
129	5.480311236
130	5.475492136
131	5.468215809
132	5.462770343
133	5.456097937
134	5.450255195
135	5.445097668
136	5.440104134
137	5.433230175
138	5.428975886
139	5.423958289
140	5.418727468
141	5.410756471
142	5.406901493
143	5.399732258
144	5.396595602
145	5.39268813
146	5.386919836
147	5.379396553
148	5.37298117
149	5.368693559
150	5.361738402
151	5.35379032
152	5.347923142
153	5.340217561
154	5.332696365
155	5.326814188
156	5.32188573
157	5.314744189
158	5.310244159
159	5.302423247
160	5.294562097
161	5.288395529
162	5.283234406
163	5.276889914
164	5.271420846
165	5.263706138
166	5.258194844
167	5.253188411
168	5.248933198
169	5.242073457
170	5.234836704
171	5.230579129
172	5.223648468
173	5.21852837
174	5.214164301
175	5.20883281
176	5.204771929
177	5.197096505
178	5.192086567
179	5.185553212
180	5.180045305
181	5.176043489
182	5.170837835
183	5.164877319
184	5.15877316
185	5.15314039
186	5.147362774
187	5.141517032
188	5.133093554
189	5.128464414
190	5.122753617
191	5.117054901
192	5.113844898
193	5.110742938
194	5.106667139
195	5.102165578
196	5.097986345
197	5.091742925
198	5.085490155
199	5.079172199
200	5.074935482
201	5.068421157
202	5.062706395
203	5.057293867
204	5.053979982
205	5.047582531
206	5.043000116
207	5.03577996
208	5.03105957
209	5.026916124
210	5.021581139
211	5.016507618
212	5.009823093
213	5.004568631
214	4.998956605
215	4.995197488
216	4.988413773
217	4.983023891
218	4.977274928
219	4.973201536
220	4.969633957
221	4.962739606
222	4.958389344
223	4.950689143
224	4.945063561
225	4.939921313
226	4.933751818
227	4.928847822
228	4.925972332
229	4.920937408
230	4.916774409
231	4.912749034
232	4.905731247
233	4.901456358
234	4.895808098
235	4.891464648
236	4.886415699
237	4.881584653
238	4.876377332
239	4.869092551
240	4.864091558
241	4.860200161
242	4.855891555
243	4.853545947
244	4.849454989
245	4.84435408
246	4.840480662
247	4.836672513
248	4.832762716
249	4.828599702
250	4.824552873
251	4.81987872
252	4.816595389
253	4.813174734
254	4.807537985
255	4.80356023
256	4.799761034
257	4.796282886
258	4.789453201
259	4.786405295
260	4.782456269
261	4.776024784
262	4.773046087
263	4.769970356
264	4.765578101
265	4.761511328
266	4.755485676
267	4.750809797
268	4.746127432
269	4.743269242
270	4.739450746
271	4.73606787
272	4.729637425
273	4.72409539
274	4.718694089
275	4.713994253
276	4.710786802
277	4.706748458
278	4.702096771
279	4.698455357
280	4.694164146
281	4.691397359
282	4.687906094
283	4.685301233
284	4.681774211
285	4.675588843
286	4.67168043
287	4.66816396
288	4.664028446
289	4.659272901
290	4.655788181
291	4.651896442
292	4.648232288
293	4.645093199
294	4.641709986
295	4.635761555
296	4.631541484
297	4.628892327
298	4.62482148
299	4.621137211
300	4.618075098
301	4.615183466
302	4.610932341
303	4.607684358
304	4.603957499
305	4.59978911
306	4.594756942
307	4.591433181
308	4.588668794
309	4.583393913
310	4.579537891
311	4.575679788
312	4.573089255
313	4.570096488
314	4.567737814
315	4.565542162
316	4.563297927
317	4.558805162
318	4.553844823
319	4.549753379
320	4.546833304
321	4.543768091
322	4.54040451
323	4.537757154
324	4.534600859
325	4.53029982
326	4.526571187
327	4.521575825
328	4.517575111
329	4.513244608
330	4.509673562
331	4.506980482
332	4.505550879
333	4.503458279
334	4.499438003
335	4.496759891
336	4.493048031
337	4.488585595
338	4.484298007
339	4.480577672
340	4.473551986
341	4.471234919
342	4.467438313
343	4.46375014
344	4.461056383
345	4.457468936
346	4.454697429
347	4.451559164
348	4.447548689
349	4.444101897
350	4.439216605
351	4.436124585
352	4.433245487
353	4.42980359
354	4.42736851
355	4.424179116
356	4.421868443
357	4.419448538
358	4.414738031
359	4.411861083
360	4.407485911
361	4.401714527
362	4.398568038
363	4.394160193
364	4.389540754
365	4.385365082
366	4.381752707
367	4.379211266
368	4.374525621
369	4.370505454
370	4.367371889
371	4.365523842
372	4.363151317
373	4.360502123
374	4.357333693
375	4.353629814
376	4.35139325
377	4.349342028
378	4.346531001
379	4.342934241
380	4.339597493
381	4.337013527
382	4.332627345
383	4.329855628
384	4.327543723
385	4.323326622
386	4.319712252
387	4.315421956
388	4.31146185
389	4.308538851
390	4.305753504
391	4.301440196
392	4.297193313
393	4.295193407
394	4.289703717
395	4.285561689
396	4.281433462
397	4.277622294
398	4.273232412
399	4.270619979
400	4.26734842
401	4.26386931
402	4.259546897
403	4.255749222
404	4.253562689
405	4.250145485
406	4.247570882
407	4.243943134
408	4.239844151
409	4.236496551
410	4.23465609
411	4.231513258
412	4.227315495
413	4.223840599
414	4.220793935
415	4.218655419
416	4.214580782
417	4.212664353
418	4.209632005
