iter	Passed	Remaining
0	12	12609
1	18	9222
2	24	8104
3	30	7668
4	35	7002
5	40	6717
6	46	6542
7	50	6299
8	55	6120
9	60	5997
10	65	5868
11	70	5766
12	74	5688
13	79	5599
14	84	5520
15	88	5471
16	93	5406
17	97	5344
18	102	5297
19	107	5282
20	112	5231
21	116	5176
22	121	5157
23	125	5121
24	130	5088
25	135	5075
26	140	5055
27	144	5024
28	148	4985
29	153	4972
30	158	4942
31	162	4916
32	167	4912
33	172	4891
34	176	4867
35	181	4855
36	186	4855
37	191	4852
38	197	4869
39	202	4857
40	206	4834
41	211	4830
42	216	4811
43	220	4792
44	225	4782
45	229	4764
46	234	4754
47	238	4735
48	243	4728
49	248	4720
50	252	4705
51	257	4701
52	262	4689
53	266	4675
54	272	4680
55	277	4670
56	282	4667
57	287	4663
58	291	4649
59	296	4638
60	300	4627
61	305	4619
62	309	4607
63	313	4591
64	318	4586
65	323	4577
66	328	4567
67	332	4561
68	337	4547
69	341	4534
70	345	4526
71	350	4519
72	355	4516
73	360	4515
74	366	4519
75	371	4521
76	376	4509
77	381	4507
78	386	4501
79	390	4493
80	395	4491
81	400	4481
82	404	4473
83	409	4469
84	414	4461
85	418	4451
86	424	4452
87	429	4453
88	434	4445
89	439	4442
90	443	4434
91	448	4428
92	453	4419
93	457	4409
94	462	4403
95	466	4392
96	471	4389
97	476	4381
98	480	4372
99	485	4368
100	490	4362
101	494	4353
102	499	4350
103	504	4343
104	508	4332
105	512	4326
106	517	4321
107	522	4312
108	527	4311
109	533	4314
110	538	4310
111	542	4303
112	547	4300
113	552	4291
114	556	4286
115	561	4282
116	566	4273
117	570	4266
118	575	4261
119	579	4253
120	584	4245
121	588	4236
122	593	4233
123	597	4223
124	609	4269
125	614	4264
126	619	4256
127	624	4252
128	628	4243
129	633	4236
130	637	4231
131	642	4223
132	646	4216
133	651	4210
134	656	4203
135	660	4197
136	665	4190
137	670	4186
138	674	4179
139	679	4171
140	684	4168
141	688	4162
142	693	4155
143	699	4157
144	704	4154
145	709	4152
146	714	4148
147	719	4142
148	724	4135
149	729	4131
150	733	4123
151	737	4117
152	742	4109
153	747	4105
154	751	4099
155	756	4094
156	761	4089
157	766	4086
158	771	4080
159	776	4076
160	780	4069
161	785	4065
162	791	4062
163	795	4056
164	800	4049
165	805	4048
166	810	4044
167	815	4039
168	820	4033
169	824	4027
170	829	4022
171	834	4016
172	838	4010
173	843	4002
174	847	3995
175	852	3993
176	857	3985
177	861	3979
178	866	3976
179	872	3974
180	878	3973
181	885	3980
182	891	3978
183	897	3978
184	902	3974
185	907	3971
186	912	3967
187	917	3961
188	921	3955
189	926	3950
190	931	3943
191	935	3937
192	939	3929
193	944	3925
194	949	3919
195	953	3912
196	958	3907
197	963	3902
198	967	3895
199	972	3890
200	976	3883
201	981	3878
202	986	3872
203	990	3866
204	995	3860
205	999	3853
206	1004	3848
207	1009	3843
208	1013	3836
209	1018	3832
210	1023	3825
211	1027	3818
212	1032	3815
213	1036	3808
214	1041	3804
215	1047	3801
216	1052	3797
217	1057	3793
218	1062	3787
219	1066	3781
220	1070	3774
221	1075	3768
222	1080	3765
223	1085	3759
224	1089	3753
225	1094	3749
226	1099	3744
227	1103	3737
228	1108	3733
229	1113	3727
230	1117	3721
231	1122	3715
232	1127	3712
233	1132	3706
234	1136	3700
235	1142	3696
236	1146	3690
237	1150	3685
238	1156	3681
239	1160	3674
240	1165	3669
241	1170	3665
242	1174	3658
243	1178	3652
244	1183	3647
245	1188	3644
246	1193	3639
247	1197	3632
248	1203	3628
249	1207	3622
250	1212	3619
251	1218	3617
252	1224	3614
253	1229	3611
254	1234	3606
255	1239	3601
256	1243	3595
257	1248	3590
258	1253	3585
259	1257	3579
260	1262	3574
261	1266	3568
262	1271	3562
263	1276	3558
264	1281	3553
265	1286	3548
266	1291	3544
267	1295	3539
268	1300	3532
269	1304	3527
270	1309	3522
271	1313	3516
272	1318	3511
273	1323	3507
274	1328	3502
275	1333	3496
276	1337	3492
277	1342	3485
278	1346	3480
279	1350	3473
280	1355	3468
281	1360	3463
282	1364	3456
